gene	Astrocytes	CThPN	DL CPN	Layer 4	NP	SCPN	UL CPN
Mef2a							
Ppargc1a	1.0		0.0	0.0			0.0
Olig2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Smad4							
Pou3f3	1.0	0.0	1.0	1.0	1.0	1.0	1.0
Rorc	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dlx2	1.0						
Jarid2							
Sp2							
Pou2f1							
Nfya							
Mxd4	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Xrcc4							
Yap1		0.0	0.0	0.0	0.0	0.0	0.0
Sox3		0.0	0.0	0.0	0.0	0.0	0.0
Mafb							
Ybx3							
Kdm2b		1.0	1.0	1.0	1.0	1.0	1.0
Insm1		0.0	0.0	0.0	0.0		
Etv1			0.0	0.0	1.0		0.0
Gli3		0.0	0.0	0.0	0.0	0.0	0.0
Nfic							
Rbfox2	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Ctbp2	1.0	0.0	0.0	0.0	0.0		0.0
Hes5	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Tead1							
Prrx1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Brca1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smad6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Myb	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ncor2							
Tfap4							
Kat2b	1.0		0.0				0.0
Sall4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rfx4	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Rest							
Mxi1							
Mef2c		1.0	1.0	1.0	1.0	1.0	1.0
Wwtr1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
E2f3							
Mta1							
Ascl1	1.0	0.0	0.0	0.0		0.0	0.0
Dnmt3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xbp1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Foxo3							
Rbpj		0.0	0.0	0.0	0.0		
Tbpl1		1.0	1.0	1.0	1.0	1.0	1.0
Sall3	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Esr1	0.0	0.0		0.0	0.0	0.0	0.0
Irf3							
Tgfb1i1	1.0	1.0	1.0	1.0		1.0	
Zeb2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Gabpa							
Gli1		0.0	0.0	0.0	0.0	0.0	0.0
Lef1		0.0	0.0	0.0	0.0	0.0	0.0
Klf4	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppard		0.0	0.0	0.0	0.0	0.0	0.0
Barx2	0.0	0.0	0.0		0.0	0.0	0.0
Pawr	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hopx	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cebpb		0.0		0.0		0.0	0.0
Nfia	1.0	1.0	1.0		1.0	1.0	
Mafk							
Brf2							
Zeb1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Neurog1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stat5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fezf2		1.0			1.0	1.0	0.0
Mbd2							
Ddit3							
E2f6							
Neurod6		1.0	1.0	1.0	1.0	1.0	1.0
Asxl1							
Tfam		0.0	0.0	0.0	0.0	0.0	0.0
Sox2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Uhrf1		0.0	0.0	0.0	0.0	0.0	0.0
Sin3a							
Creb3l4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Irf2							
Hivep1							
Dmrta1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nrip1							
Pias3							
Hivep2		1.0	1.0	1.0	1.0	1.0	
Klf9	1.0			1.0	0.0		
Erf							
Bcl11a	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Nr3c1	1.0	0.0	0.0		0.0		0.0
Gtf2i	1.0	1.0		1.0	1.0	1.0	1.0
Neurod2		1.0	1.0	1.0	1.0	1.0	1.0
Sall2							
Usf1		1.0	1.0	1.0	1.0	1.0	1.0
E2f4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rela							
E2f2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hbp1	1.0		0.0	0.0			0.0
Rxrg		0.0	0.0	0.0	0.0	0.0	0.0
Smad7							
Vhl							
Nr2f1	1.0	0.0	1.0	1.0	0.0	0.0	1.0
Foxo1	1.0	0.0	0.0		0.0	0.0	0.0
Klf2	1.0	0.0	0.0	1.0	0.0	0.0	
Ahr	0.0	0.0	0.0		0.0	0.0	0.0
Ebf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Epas1		0.0	0.0	0.0	0.0	0.0	0.0
Rad21	1.0				0.0	0.0	
Srebf2	1.0						
Arhgap35							
E2f7	0.0	0.0	0.0	0.0			0.0
Maml1							
Eomes		0.0	0.0	0.0	0.0	0.0	0.0
Gli2		0.0	0.0	0.0	0.0	0.0	0.0
Mta3							
Nelfe	1.0	0.0	0.0	0.0	0.0		0.0
Smad3		0.0			0.0	0.0	
Lmo4	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Klf5		1.0	1.0	1.0	1.0		
Creb5	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mybl2		0.0	0.0	0.0	0.0	0.0	0.0
Bhlhe41		0.0	0.0	0.0	0.0	0.0	0.0
Sp8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pax6	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Prmt5	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ski	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Dmrta2		0.0	0.0	0.0	0.0	0.0	
Elk1							
Uncx	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pou2f2	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Fos	1.0	0.0		1.0	0.0		1.0
Zscan26							
Chd2							
Bhlhe40	1.0	0.0			0.0	0.0	
Jun	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Suz12							
Nfkb1							
Sox21	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Klf11							
Foxo4		0.0	0.0	0.0	0.0	0.0	0.0
Nfe2l2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Sox1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Srebf1							
Maml2							
Thrb	0.0	0.0	0.0		0.0	0.0	0.0
Bcl11b	0.0	1.0		0.0	1.0	1.0	0.0
Arid5b							
Prox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lhx2	1.0	0.0	1.0	1.0	0.0		1.0
Rora	1.0	0.0	0.0	1.0		0.0	0.0
Usf2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Zbtb14							
Srf							
Mxd1							
Crem							
Zbtb10							
Ezh2	1.0	1.0	1.0			1.0	1.0
Tcf12	1.0	0.0			0.0		
Lmo2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfpm2	0.0	1.0	0.0	0.0	0.0		0.0
Rara							
Hipk2							
Bcor							
Nr1d1	0.0		0.0	1.0	0.0	0.0	0.0
Mybl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Foxj1		0.0	0.0	0.0	0.0	0.0	0.0
Rgl2							
Klf10							
Gabpb1							
Zhx3							
Stat2							
Dach1		0.0	0.0	0.0	0.0	0.0	0.0
Zbtb38		1.0	1.0	1.0	1.0		1.0
Relb	0.0	0.0		0.0	0.0	0.0	0.0
Hdac1	1.0	0.0			0.0		0.0
Brd7	1.0		1.0	1.0		1.0	
E2f1							
Hmga1							
Nfatc4		0.0	0.0	0.0	0.0	0.0	0.0
Prdm16							
Id2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ncoa3							
Mycn			1.0	1.0	1.0	1.0	1.0
Klf6	1.0	1.0	1.0	1.0		1.0	1.0
Irf1		0.0	0.0	0.0	0.0	0.0	0.0
Kat7							
Pbx3	1.0	0.0	0.0	0.0		0.0	0.0
Nfatc3							
Smarca1							
Cdh8	0.0	0.0	1.0	1.0	1.0		1.0
Ebf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nr1h2							
Hdac7							
Zbtb4							
Smad5							
Rb1							
Tfcp2							
Phf20	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Rxra	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Foxo6	0.0			0.0	0.0	1.0	0.0
Notch1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Esrrg	0.0	0.0		0.0	0.0	0.0	0.0
Btaf1							
Creb3l1	0.0	0.0	0.0		0.0	0.0	0.0
Atf3		0.0	0.0	0.0	0.0	0.0	0.0
Satb2			1.0	1.0	1.0		1.0
Etv4	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Arx	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Pelp1							
Zhx2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mecom	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Foxj3							
Zbtb18		1.0	1.0	1.0	1.0	1.0	1.0
Nme2							
Nab2	1.0	0.0		0.0	0.0	0.0	0.0
Dbp							
Heyl		0.0	0.0	0.0	0.0	0.0	0.0
Stat3							
Tgif1		0.0	0.0	0.0	0.0	0.0	0.0
Fosb							
Tbp							
Egr4	0.0	0.0	0.0		0.0	0.0	0.0
Nr4a2	0.0	0.0	0.0		0.0		
Tcf7l2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Abl1							
Meis1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Hes1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Sox6	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Creb3l2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Kdm5b		1.0	1.0	1.0	1.0	1.0	1.0
Atf5							
Arid5a		0.0	0.0	0.0	0.0	0.0	0.0
Tfe3							
Olig1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Arid4a		1.0	1.0	1.0	1.0	1.0	1.0
Egr1	1.0				0.0		
Patz1							
Mycl	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Sirt6							
Cbfa2t3	0.0						
Nfatc2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Elk3	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Rarg		1.0		1.0		1.0	
Pml	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tbl1x	1.0		1.0	1.0			1.0
Sf1	1.0		1.0	1.0	1.0	1.0	1.0
Hlf		1.0	0.0	1.0			0.0
Nrf1							
Egr2	1.0	0.0	0.0		0.0	0.0	0.0
Tfap2c	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Id4		0.0	0.0	0.0	0.0	0.0	0.0
Rfx5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ldb1							
Dnmt3a							
Hey1	1.0				0.0		0.0
Tbl1xr1							
Smarca5	1.0			0.0		1.0	
Hif3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tcf3	1.0	0.0	0.0	0.0	0.0		0.0
Sox9	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Foxk2							
Sp1							
Kat2a							
Hsf2							
Myt1	0.0	0.0	0.0	0.0	0.0		0.0
Bcl6	0.0	0.0	1.0	1.0		0.0	1.0
Skil							
Zmiz1	1.0	1.0			1.0	1.0	
Klf15	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Aip		1.0	1.0	1.0	1.0	1.0	1.0
Sirt1							
Meis2	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Prdm2							
E2f8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ets2	0.0			1.0	1.0		
Myc							
Tbr1	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Ncoa1							
Cebpg				0.0		1.0	
Trim62	0.0	0.0			0.0	0.0	
Zzz3							
Nr2e1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Fhl2	0.0	1.0	1.0	1.0	1.0		1.0
Neurog2	0.0	0.0	0.0		0.0		0.0
Dnmt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Yy1							
E4f1							
Nr4a1	1.0				0.0		
Id3	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Nhlh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thra	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Nfil3							
Mef2d							
Etv6		0.0	0.0	0.0		0.0	0.0
Pknox1							
Pou3f2	1.0	0.0	1.0	1.0	1.0	1.0	1.0
Neurod1	0.0	0.0			0.0		
Foxm1		0.0	0.0	0.0	0.0	0.0	0.0
Stat4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hdac4							
Hey2		0.0	0.0	0.0	0.0	0.0	0.0
Emx2	1.0	0.0	0.0	0.0	0.0	0.0	
Fosl2	0.0		1.0	0.0	0.0		0.0
Atf1							
Bach2	0.0	1.0	1.0	1.0		1.0	
Junb	1.0	1.0	1.0	1.0	1.0		
Satb1		1.0		1.0	1.0		
Nr1d2							
Sp3							
